Right_Flipped_Neuron,Left_Neuron,Score
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346498409009.swc,-0.881902755
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346483541141.swc,-0.881896069
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346479320018.swc,-0.881885666
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346459651076.swc,-0.881733102
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346513926169.swc,-0.881693057
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346491240312.swc,-0.881645474
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346491739966.swc,-0.881639217
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346481985981.swc,-0.881625281
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346486370962.swc,-0.881571808
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346501326733.swc,-0.881566286
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346489697881.swc,-0.881558508
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346481055200.swc,-0.881539764
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346510963330.swc,-0.881529789
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346509677370.swc,-0.881523233
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346504084064.swc,-0.881509579
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346500948636.swc,-0.881492315
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346483903381.swc,-0.881488206
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346501162584.swc,-0.881477754
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346504748934.swc,-0.881471765
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346479633883.swc,-0.881457593
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346489929433.swc,-0.881452221
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346494780554.swc,-0.881446921
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346494680040.swc,-0.881407946
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346497417601.swc,-0.881387186
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346480881885.swc,-0.88137776
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346471756187.swc,-0.88137745
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346486733281.swc,-0.881360746
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346499563358.swc,-0.881341549
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346507532063.swc,-0.881338115
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346493878073.swc,-0.881334438
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346492715694.swc,-0.881324943
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346491927314.swc,-0.881297321
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346493144896.swc,-0.88123191
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346478252245.swc,-0.881226952
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346512194862.swc,-0.881196841
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346492390188.swc,-0.881134054
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346500236287.swc,-0.88110977
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346502609063.swc,-0.881109675
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346483038117.swc,-0.881105939
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346494455784.swc,-0.881074213
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346502030921.swc,-0.881067747
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346494458759.swc,-0.881035978
right_flipped_neuron_648518346471756187.swc,left_neuron_648518346482006461.swc,-0.880812306
